Function,Algorithm,Mean,StdDev,Rank
F8_CEC2014,DE,823.1071566,9.888239064,1
F8_CEC2014,GWO,951.4997172,9.624450564,11
F8_CEC2014,HHO,984.2455712,2.27e-13,13
F8_CEC2014,MFO,868.4465826,29.05849704,5
F8_CEC2014,PSO,840.8812279,18.01748816,3
F8_CEC2014,SMA,963.3300073,24.44360482,12
F8_CEC2014,WOA,984.2455712,2.27e-13,13
F9_CEC2014,FSRO_Original,1050.001418,37.66560833,13
F9_CEC2014,FSRO_Modified,928.8396525,11.59966237,1
F9_CEC2014,FSRO_Variant1,1016.36653,25.64170267,8
F9_CEC2014,FSRO_Variant2,954.515299,18.72133068,4
F9_CEC2014,FSRO_Variant3,970.9481005,21.61285228,6
F9_CEC2014,FSRO_Variant4,1039.091262,23.29989846,11
F9_CEC2014,FSRO_Variant5,1048.171721,23.78968692,12
F9_CEC2014,DE,931.5977929,11.16351145,2
F9_CEC2014,GWO,982.9751851,9.500733989,7
F9_CEC2014,HHO,1021.647655,1.14e-13,9
F9_CEC2014,MFO,968.636808,21.33637236,5
F9_CEC2014,PSO,941.3523592,19.47806291,3
F9_CEC2014,SMA,1068.525236,30.69411098,14
F9_CEC2014,WOA,1021.647655,1.14e-13,9
F10_CEC2014,FSRO_Original,1391.462176,775.8437246,10
F10_CEC2014,FSRO_Modified,-198.5767581,447.611666,4
F10_CEC2014,FSRO_Variant1,524.1115197,499.8982455,7
F10_CEC2014,FSRO_Variant2,408.0607065,679.4837179,6
F10_CEC2014,FSRO_Variant3,868.3472529,529.2107326,8
F10_CEC2014,FSRO_Variant4,-162.4697015,234.9107959,5
F10_CEC2014,FSRO_Variant5,2695.417072,603.0271766,13
F10_CEC2014,DE,-993.3979653,678.414465,1
F10_CEC2014,GWO,955.5310398,178.7564467,9
F10_CEC2014,HHO,1413.790145,0.0,11
F10_CEC2014,MFO,-400.735327,582.6746304,2
F10_CEC2014,PSO,-312.8829227,662.1131117,3
F10_CEC2014,SMA,3098.580539,677.0463385,14
F10_CEC2014,WOA,1413.790145,0.0,11
F11_CEC2014,FSRO_Original,1553.599162,616.8272929,8
F11_CEC2014,FSRO_Modified,-37.40057859,454.2663413,1
F11_CEC2014,FSRO_Variant1,719.9331948,481.6919104,5
F11_CEC2014,FSRO_Variant2,884.0719585,775.6354134,6
F11_CEC2014,FSRO_Variant3,1055.489474,617.0100135,7
F11_CEC2014,FSRO_Variant4,1822.878599,402.9323064,9
F11_CEC2014,FSRO_Variant5,3067.268811,499.6318552,11
F11_CEC2014,DE,50.92194073,591.147097,2
F11_CEC2014,GWO,1932.239207,219.2700619,10
F11_CEC2014,HHO,4002.892187,0.0,13
F11_CEC2014,MFO,577.4949416,655.8362567,4
F11_CEC2014,PSO,186.5315142,559.0482955,3
