Function,Algorithm,Mean,StdDev,Min,Max
F10_CEC2014,HHO,1413.790144974036,0.0,1413.790144974036,1413.790144974036
F10_CEC2014,MFO,-400.7353269702828,582.6746304445965,-2029.2982828342767,492.30207242053984
F10_CEC2014,PSO,-312.88292271209923,662.1131117492849,-2009.4966182537555,779.6505537945177
F10_CEC2014,SMA,3098.5805394038634,677.0463385151309,1653.6287365568228,4720.266606747363
F10_CEC2014,WOA,1413.790144974036,0.0,1413.790144974036,1413.790144974036
F11_CEC2014,FSRO_Original,1553.5991622636343,616.827292884214,350.74916703048984,3256.1272352757283
F11_CEC2014,FSRO_Modified,-37.40057858972199,454.26634132656494,-927.8017046875148,931.965710911878
F11_CEC2014,FSRO_Variant1,719.9331948369731,481.6919104229216,-226.8137848860069,1867.98457727401
F11_CEC2014,FSRO_Variant2,884.0719585468624,775.6354133583241,-1696.6764316047577,2153.8794489898896
F11_CEC2014,FSRO_Variant3,1055.4894739075587,617.0100134807835,-239.83650471855708,2458.0587704559443
F11_CEC2014,FSRO_Variant4,1822.8785992120888,402.9323064423984,697.6836491192998,2517.829734381637
F11_CEC2014,FSRO_Variant5,3067.268810733612,499.6318551632792,1935.941912071953,3997.277826772501
F11_CEC2014,DE,50.92194073366523,591.1470970491272,-1471.1483207938618,1361.3615504521094
F11_CEC2014,GWO,1932.2392065479569,219.27006193672028,1673.3791738463406,2455.4916901955103
F11_CEC2014,HHO,4002.8921865674592,0.0,4002.8921865674592,4002.8921865674592
F11_CEC2014,MFO,577.4949416015262,655.8362567053791,-775.2877850897194,2181.93547440672
F11_CEC2014,PSO,186.53151424443627,559.0482955234087,-956.4434035789408,1573.074382498277
F11_CEC2014,SMA,3429.383437641605,590.6868589439478,2018.3285928374617,4423.479506044931
F11_CEC2014,WOA,4002.8921865674592,0.0,4002.8921865674592,4002.8921865674592
F1_CEC2017,FSRO_Original,26686616623.336945,12847195358.783312,5318406589.046268,67090160255.19996
F1_CEC2017,FSRO_Modified,105117.28056150748,30426.656395584065,40361.23124646591,186243.6416089659
F1_CEC2017,FSRO_Variant1,20533221165.4306,8479627650.7368,5165723887.097155,41779721018.39628
F1_CEC2017,FSRO_Variant2,132290.2513792875,36469.841067932764,56027.301291838565,210012.84247108529
F1_CEC2017,FSRO_Variant3,8594433289.038294,6087028114.810875,392458326.7313542,23230906838.26037
F1_CEC2017,FSRO_Variant4,31151641760.91633,11633687386.298077,6717845959.1210985,57766544032.78306
F1_CEC2017,FSRO_Variant5,27796156116.95649,8930253865.423737,6717845959.1210985,45112739995.6559
F1_CEC2017,DE,3486524703.6846075,2266683287.459104,318359742.0802063,9541839140.051603
F1_CEC2017,GWO,9579483048.509644,3033954735.712287,5815784666.256232,15577532836.587742
F1_CEC2017,HHO,29975432515.94005,3.814697265625e-06,29975432515.94005,29975432515.94005
F1_CEC2017,MFO,5141509161.517901,5890908658.288003,5631.975313403367,35880003128.14502
F1_CEC2017,PSO,1567393112.4342709,2810969352.672278,19947.502656486955,18352490977.002487
F1_CEC2017,SMA,32420963406.63499,11831471146.50038,6712337167.507284,60196927294.70694
F1_CEC2017,WOA,29975432515.94005,3.814697265625e-06,29975432515.94005,29975432515.94005
F2_CEC2017,FSRO_Original,51176.72776460381,28480.77542816493,8807.68608401367,189039.0672002456
F2_CEC2017,FSRO_Modified,200.14916415795008,0.0413724080774225,200.0538328263728,200.22646150060112
F2_CEC2017,FSRO_Variant1,34463.98734348244,14606.83387253793,7898.50880738405,79294.87376505668
F2_CEC2017,FSRO_Variant2,200.22540750281604,0.0562135588788849,200.07993799102755,200.36184229258865
F2_CEC2017,FSRO_Variant3,22250.46666447244,9937.312935657112,6448.916079557749,52598.31448615104
F2_CEC2017,FSRO_Variant4,134233.8181224354,550646.6190428254,15697.744664090073,3986079.1354345
F2_CEC2017,FSRO_Variant5,78831.89212725709,59510.24116188176,26726.187029421893,290295.40834968723
F2_CEC2017,DE,12242.617953901694,7432.345860739912,2196.7376882942376,34362.08516375879
F2_CEC2017,GWO,23237.433218503626,3124.109676517772,16780.143308782386,28763.522489291965
F2_CEC2017,HHO,4674966.047137637,9.313225746154783e-10,4674966.047137636,4674966.047137636
F2_CEC2017,MFO,39877.916409655634,26359.190538845705,1493.6210203245269,102700.27961259328
F2_CEC2017,PSO,5433.352321622084,6753.033439147609,335.281889210684,30508.73576807969
F2_CEC2017,SMA,868357.1420734362,2142798.8797213696,32439.278373151505,11682746.91043955
F2_CEC2017,WOA,4674966.047137637,9.313225746154783e-10,4674966.047137636,4674966.047137636
F3_CEC2017,FSRO_Original,3732.9089193599775,2732.286783079642,1214.802571018468,16091.280114731364
F3_CEC2017,FSRO_Modified,314.130723708659,23.24760120770804,300.0212645229112,368.0835087760561
F3_CEC2017,FSRO_Variant1,1966.555825708279,1275.042826299233,538.8582175418434,8046.179749671109
F3_CEC2017,FSRO_Variant2,316.1473818840235,24.292768890241664,300.02020392320816,367.91303553338616
F3_CEC2017,FSRO_Variant3,607.6642184985674,241.4655158750873,342.95227289678564,1353.9534035347622
